ophys_experiment_id,equipment_name,full_genotype,mouse_id,reporter_line,driver_line,sex,age_in_days,cre_line,indicator,session_number,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,ophys_session_id,behavior_session_id,ophys_container_id,project_code,imaging_depth,targeted_structure,date_of_acquisition,session_type,file_id
957759564,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,213.0,Sst-IRES-Cre,GCaMP6f,4.0,0,0.0,4,957020350,957032492,1018028345,VisualBehaviorMultiscope,225,VISp,2019-09-27 08:28:05.415005,OPHYS_4_images_B,1085398496
958741222,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,216.0,Sst-IRES-Cre,GCaMP6f,3.0,2,69.0,5,958105827,958234742,1018028345,VisualBehaviorMultiscope,225,VISp,2019-09-30 08:24:24.860599,OPHYS_3_images_A,1085402131
958741230,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,216.0,Sst-IRES-Cre,GCaMP6f,3.0,2,69.0,5,958105827,958234742,1018028357,VisualBehaviorMultiscope,225,VISl,2019-09-30 08:24:24.860599,OPHYS_3_images_A,1085402121
958741232,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,216.0,Sst-IRES-Cre,GCaMP6f,3.0,2,69.0,5,958105827,958234742,1018028351,VisualBehaviorMultiscope,75,VISl,2019-09-30 08:24:24.860599,OPHYS_3_images_A,1085401923
958741219,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,216.0,Sst-IRES-Cre,GCaMP6f,3.0,2,69.0,5,958105827,958234742,1018028342,VisualBehaviorMultiscope,150,VISp,2019-09-30 08:24:24.860599,OPHYS_3_images_A,1085402102
958741234,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,216.0,Sst-IRES-Cre,GCaMP6f,3.0,2,69.0,5,958105827,958234742,1018028360,VisualBehaviorMultiscope,300,VISl,2019-09-30 08:24:24.860599,OPHYS_3_images_A,1085401906
959388792,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,217.0,Sst-IRES-Cre,GCaMP6f,5.0,0,1.0,6,958772311,958888263,1018028339,VisualBehaviorMultiscope,75,VISp,2019-10-01 08:25:28.921369,OPHYS_5_images_B_passive,1086012475
959388802,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,217.0,Sst-IRES-Cre,GCaMP6f,5.0,0,1.0,6,958772311,958888263,1018028360,VisualBehaviorMultiscope,300,VISl,2019-10-01 08:25:28.921369,OPHYS_5_images_B_passive,1086012487
959388796,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,217.0,Sst-IRES-Cre,GCaMP6f,5.0,0,1.0,6,958772311,958888263,1018028354,VisualBehaviorMultiscope,150,VISl,2019-10-01 08:25:28.921369,OPHYS_5_images_B_passive,1086012484
959388790,MESO.1,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,457841,Ai148(TIT2L-GC6f-ICL-tTA2),['Sst-IRES-Cre'],F,217.0,Sst-IRES-Cre,GCaMP6f,5.0,0,1.0,6,958772311,958888263,1018028345,VisualBehaviorMultiscope,225,VISp,2019-10-01 08:25:28.921369,OPHYS_5_images_B_passive,1086012436
